epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,11655.8,1.69867,1.18126,0.63669,0.54963,0.50338,0.50192,0.21961,1.12256,0.70345,0.44843,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,11784.2,1.67708,1.12736,0.63453,0.63078,0.46284,0.49555,0.22367,1.10817,0.70194,0.44649,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,11916.5,1.72276,1.13787,0.62954,0.59154,0.5,0.5054,0.21959,1.10449,0.69715,0.44623,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,12043.3,1.66596,1.11012,0.62187,0.6509,0.47242,0.51436,0.23032,1.09332,0.68644,0.44396,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,12176.6,1.6637,1.111,0.61819,0.6605,0.47981,0.53116,0.23561,1.08292,0.67754,0.443,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,12311.6,1.65276,1.09791,0.62753,0.69101,0.46843,0.54115,0.23417,1.08012,0.66089,0.44241,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,12445.9,1.71615,1.15186,0.6263,0.68012,0.48311,0.54958,0.24172,1.087,0.65432,0.44494,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,12578.8,1.68767,1.09623,0.63282,0.60107,0.51689,0.53772,0.23402,1.08641,0.64744,0.44325,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,12705.6,1.70967,1.11249,0.62493,0.71993,0.46284,0.53336,0.23624,1.07255,0.63989,0.44145,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,12834.2,1.73347,1.11984,0.6355,0.70526,0.47695,0.52483,0.23202,1.07645,0.63535,0.44273,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,12965.3,1.68371,1.06737,0.61409,0.67864,0.47801,0.53356,0.23417,1.07955,0.64073,0.44359,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,13098.9,1.64576,1.04866,0.60409,0.66002,0.50676,0.54344,0.24148,1.0648,0.63286,0.44095,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,13226.3,1.69137,1.08171,0.62396,0.66687,0.52365,0.5524,0.24606,1.06131,0.63104,0.44028,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,13353.7,1.60524,1.05188,0.59478,0.63452,0.53378,0.54842,0.24226,1.07652,0.62514,0.44185,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,13484.2,1.6703,1.05672,0.63575,0.60241,0.56307,0.55408,0.2471,1.07451,0.62119,0.44149,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,13618.2,1.61907,1.01796,0.60063,0.61028,0.55549,0.55436,0.24835,1.07219,0.62261,0.44252,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,13752.7,1.68613,1.05164,0.63122,0.61093,0.56757,0.54948,0.2442,1.07262,0.62448,0.44453,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,13887.7,1.60017,0.97539,0.6109,0.62373,0.57432,0.55534,0.24826,1.06348,0.62249,0.44306,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,14021.4,1.61016,1.03725,0.61406,0.63611,0.55405,0.55285,0.24315,1.06505,0.62042,0.44462,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,14156.1,1.59999,1.00096,0.59134,0.63402,0.5473,0.55528,0.24673,1.06652,0.6177,0.44282,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,14289.7,1.6514,1.02827,0.61287,0.63786,0.56757,0.55187,0.24993,1.064,0.61092,0.44333,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,14417.8,1.55447,0.98538,0.59638,0.62086,0.56429,0.56416,0.25674,1.06634,0.61305,0.44488,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,14544.4,1.61633,1.01014,0.61794,0.64365,0.55743,0.56753,0.25834,1.05895,0.60999,0.44183,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,14678.5,1.67064,1.01776,0.6277,0.66357,0.55307,0.57656,0.25671,1.05257,0.60879,0.4407,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,14811.9,1.63736,0.99533,0.61782,0.66425,0.52703,0.579,0.25807,1.05241,0.6073,0.44171,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,14946.9,1.61204,0.97926,0.60884,0.70307,0.53041,0.58275,0.26006,1.04207,0.60038,0.43907,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,15081.8,1.62872,0.97008,0.60445,0.68099,0.53041,0.58272,0.26186,1.04597,0.59894,0.43983,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,15216.5,1.67264,1.0146,0.62895,0.6935,0.53509,0.585,0.26229,1.04156,0.5945,0.43834,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,15349,1.64148,0.97937,0.6267,0.68155,0.54392,0.58546,0.26467,1.03434,0.59099,0.43763,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,15482.6,1.59069,0.9598,0.60039,0.67963,0.54054,0.59134,0.26902,1.02489,0.58421,0.43559,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,15609.6,1.63527,0.97332,0.62555,0.6998,0.55129,0.59088,0.26657,1.02398,0.58119,0.4352,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,15736.5,1.63557,0.93605,0.62324,0.70562,0.56081,0.59919,0.26737,1.02516,0.5795,0.43473,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,15864.9,1.62968,0.94256,0.62296,0.73101,0.55068,0.60002,0.27121,1.01387,0.57596,0.43436,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,15999.4,1.48949,0.90162,0.56741,0.75878,0.55405,0.61152,0.27739,1.00796,0.57604,0.43226,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,16134.6,1.52142,0.87922,0.59404,0.75164,0.55743,0.61321,0.2789,1.0117,0.57152,0.43228,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,16262.6,1.55836,0.92469,0.58716,0.72595,0.56757,0.61409,0.2844,1.00622,0.56734,0.43181,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,16389.3,1.65252,0.95667,0.62045,0.71668,0.56757,0.61633,0.28439,1.005,0.56343,0.43094,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,16520.4,1.57636,0.93963,0.6154,0.74327,0.58108,0.6216,0.2844,1.00098,0.561,0.43028,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,16655.6,1.57889,0.89179,0.60394,0.74728,0.57432,0.62394,0.28825,1.00562,0.56036,0.43049,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,16790.5,1.59825,0.89715,0.61728,0.74376,0.56877,0.62306,0.28695,1.00481,0.55914,0.43018,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,16925.6,1.53166,0.87151,0.60325,0.75598,0.56519,0.62867,0.2967,1.00636,0.55746,0.43128,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,17057.7,1.5559,0.88773,0.59503,0.74135,0.56757,0.62743,0.29756,1.00572,0.55873,0.43075,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,17191.1,1.59804,0.91143,0.62294,0.74729,0.55945,0.62405,0.29784,1.00585,0.55743,0.43087,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,17326,1.52211,0.87577,0.60445,0.74229,0.57095,0.62657,0.29721,1.0074,0.5575,0.43087,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,17461.2,1.58973,0.91032,0.62802,0.73377,0.56799,0.62782,0.2943,1.00921,0.55915,0.42963,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
