axis-0,axis-1,axis-2
3244.677,566.009,103.000
3244.535,567.671,103.000
3245.148,566.136,104.000
3244.932,568.405,104.000
3244.799,567.322,105.000
3255.721,554.162,105.000
3256.406,553.305,106.000
3258.233,666.511,118.000
3258.270,665.939,119.000
3258.808,664.778,120.000
3259.043,664.123,121.000
3259.920,663.693,122.000
3200.700,739.490,122.000
3229.185,648.450,122.000
3260.685,663.531,123.000
3199.209,737.664,123.000
3232.951,647.944,123.000
3239.989,648.165,123.000
3201.689,737.846,123.000
3199.427,738.051,124.000
3260.966,663.673,124.000
3232.023,648.371,124.000
3236.466,647.518,124.000
3261.053,663.809,125.000
3198.539,737.885,125.000
3231.894,648.450,125.000
3230.638,647.361,125.000
3233.287,646.342,125.000
3231.957,648.712,126.000
3261.204,663.760,126.000
3198.095,737.783,126.000
3230.004,647.625,126.000
3233.541,646.680,126.000
3231.019,646.012,126.000
3232.071,649.060,127.000
3261.435,663.575,127.000
3197.834,737.900,127.000
3230.193,648.185,127.000
3233.810,647.057,127.000
3204.837,573.907,127.000
3230.620,646.263,127.000
3231.994,649.476,128.000
3197.856,737.937,128.000
3262.208,663.172,128.000
3263.295,662.498,128.000
3233.924,647.413,128.000
3230.363,646.471,128.000
3231.641,649.851,129.000
3197.512,737.977,129.000
3265.578,661.250,129.000
3231.423,650.368,130.000
3197.496,737.606,130.000
3231.519,650.807,131.000
3197.172,737.697,131.000
3231.953,650.972,132.000
3197.251,737.806,132.000
3231.566,650.579,133.000
3195.971,738.488,133.000
3197.359,738.131,133.000
3234.042,651.795,133.000
3198.981,736.837,133.000
3232.719,650.304,134.000
3198.853,738.198,134.000
3194.980,739.016,134.000
3240.377,651.147,134.000
3234.230,651.916,134.000
3200.887,736.596,134.000
3238.422,650.115,135.000
3242.603,650.606,135.000
3201.197,738.011,135.000
